fips,county,cents_per_kwh_2019,cents_per_kwh_2024,percent_change,utilities
48293,Limestone,10.09,13.75,36.2,3
48295,Lipscomb,10.24,13.31,29.9,2
48297,Live Oak,10.54,10.93,3.7,3
48299,Llano,10.46,12.18,16.4,3
48303,Lubbock,10.23,12.63,23.5,4
48305,Lynn,10.08,12.56,24.6,3
48313,Madison,10.23,13.84,35.2,4
48315,Marion,10.23,12.11,18.4,2
48317,Martin,9.73,8.99,-7.6,1
48319,Mason,10.43,12.12,16.2,2
48321,Matagorda,11.05,13.4,21.3,2
48323,Maverick,16.49,18.51,12.2,1
48307,McCulloch,11.37,11.03,-3.0,1
48309,McLennan,10.2,14.33,40.5,3
48311,McMullen,10.81,11.25,4.0,4
48325,Medina,10.72,12.37,15.4,4
48327,Menard,10.45,12.13,16.1,3
48329,Midland,10.23,13.35,30.5,1
48331,Milam,10.09,13.26,31.3,4
48333,Mills,11.28,14.25,26.3,2
48335,Mitchell,13.5,14.28,5.8,3
48337,Montague,10.79,14.96,38.6,2
48339,Montgomery,10.49,13.58,29.4,4
48341,Moore,10.2,13.28,30.2,2
48343,Morris,10.39,12.18,17.2,3
48345,Motley,10.12,12.71,25.6,3
48347,Nacogdoches,10.65,13.54,27.1,3
48349,Navarro,10.48,14.25,36.0,1
48351,Newton,10.16,13.6,33.8,3
48353,Nolan,13.5,14.28,5.8,3
48355,Nueces,10.92,11.21,2.7,2
48357,Ochiltree,10.24,13.31,29.9,2
48359,Oldham,10.16,13.18,29.7,3
48361,Orange,10.14,13.64,34.4,2
48363,Palo Pinto,9.05,12.79,41.2,2
48365,Panola,10.27,12.17,18.6,4
48367,Parker,9.19,13.04,41.9,3
48369,Parmer,10.2,13.21,29.6,3
48371,Pecos,15.19,17.15,12.9,2
48373,Polk,10.28,13.51,31.4,2
48375,Potter,10.2,13.28,30.2,2
48377,Presidio,16.49,18.51,12.2,1
48379,Rains,10.68,11.95,11.9,3
48381,Randall,10.29,13.4,30.3,2
48383,Reagan,12.82,12.91,0.7,2
48385,Real,10.57,12.14,14.8,4
48387,Red River,10.43,12.23,17.2,3
48389,Reeves,16.49,18.51,12.2,1
48391,Refugio,11.24,12.68,12.8,2
48393,Roberts,10.29,13.36,29.8,3
48395,Robertson,10.12,13.49,33.3,3
48397,Rockwall,11.5,11.51,0.1,1
48399,Runnels,13.55,14.41,6.3,2
48401,Rusk,10.35,12.52,21.0,5
48403,Sabine,10.99,13.05,18.7,2
48405,San Augustine,10.34,13.1,26.7,1
48407,San Jacinto,10.27,13.51,31.5,2
48409,San Patricio,12.54,13.99,11.6,1
48411,San Saba,10.45,12.18,16.6,3
48413,Schleicher,10.38,12.23,17.8,2
48415,Scurry,11.8,13.72,16.3,1
48417,Shackelford,12.91,15.07,16.7,3
48419,Shelby,10.31,12.3,19.3,3
48421,Sherman,10.2,13.28,30.2,3
48423,Smith,10.41,12.45,19.6,4
48425,Somervell,9.09,13.0,43.1,1
48427,Starr,9.76,10.53,7.9,2
48429,Stephens,9.35,13.17,40.8,2
48431,Sterling,13.08,12.73,-2.7,1
48433,Stonewall,9.19,12.11,31.8,3
48435,Sutton,10.38,12.23,17.8,2
48437,Swisher,10.27,13.37,30.2,2
48439,Tarrant,9.76,13.34,36.6,3
48441,Taylor,13.77,15.37,11.6,1
48443,Terrell,16.49,18.51,12.2,1
48445,Terry,10.21,13.16,28.8,2
48447,Throckmorton,9.15,12.69,38.7,2
48449,Titus,10.54,12.24,16.2,3
48451,Tom Green,12.43,12.91,3.8,2
48453,Travis,10.58,12.26,15.8,3
48455,Trinity,10.31,13.59,31.8,3
48457,Tyler,10.27,13.51,31.5,2
48459,Upshur,10.37,12.22,17.8,3
48461,Upton,11.99,13.55,13.0,1
48463,Uvalde,11.93,12.91,8.2,3
48465,Val Verde,15.19,17.15,12.9,2
48467,Van Zandt,10.78,11.78,9.3,4
48469,Victoria,10.29,12.42,20.6,2
48471,Walker,10.39,13.62,31.1,4
48473,Waller,10.33,13.72,32.9,3
48477,Washington,10.16,13.18,29.7,4
48479,Webb,12.57,13.39,6.6,2
48481,Wharton,11.05,13.4,21.3,2
48483,Wheeler,10.25,12.78,24.7,4
48487,Wilbarger,9.72,13.04,34.2,2
48489,Willacy,9.38,10.2,8.7,1
48491,Williamson,10.67,12.35,15.8,5
48493,Wilson,10.61,12.39,16.8,4
48497,Wise,9.99,13.53,35.5,4
48499,Wood,10.63,12.02,13.1,4
48501,Yoakum,10.2,13.12,28.7,3
48503,Young,9.16,13.0,42.0,1
48505,Zapata,11.54,12.1,4.9,1
48507,Zavala,12.57,13.39,6.6,2
